"country"	"danceability"	"energy"	"loudness"	"speechiness"	"acousticness"	"instrumentalness"	"liveness"	"valence"	"tempo"	"track.duration_ms"
"61"	"Turkey70s"	0.477	0.789	-5.426	0.0699	0.537	0	0.325	0.856	87.798	210560
"62"	"Turkey70s"	0.568	0.631	-10.995	0.152	0.0573	0	0.698	0.634	97.543	219986
"63"	"Turkey70s"	0.514	0.651	-9.911	0.0725	0.18	0	0.188	0.668	127.418	162168
"64"	"Turkey70s"	0.743	0.938	-7.186	0.196	0.1	0	0.113	0.666	110.505	165250
"65"	"Turkey70s"	0.635	0.457	-11.208	0.0506	0.809	0	0.28	0.728	131.985	211066
"66"	"Turkey70s"	0.562	0.667	-7.031	0.0407	0.364	0	0.121	0.626	102.639	180213
"67"	"Turkey70s"	0.576	0.736	-5.164	0.0489	0.689	0	0.273	0.82	115.93	235146
"68"	"Turkey70s"	0.541	0.355	-15.498	0.0678	0.0587	0.0436	0.0514	0.635	200.333	303426
"69"	"Turkey70s"	0.7	0.851	-7.741	0.0657	0.804	6.96e-06	0.374	0.915	122.1	174124
"70"	"Turkey70s"	0.767	0.698	-8.296	0.0323	0.587	2.37e-06	0.191	0.827	114.332	166582
"71"	"Turkey70s"	0.65	0.674	-9.529	0.0993	0.163	0	0.101	0.697	125.866	161720
"72"	"Turkey70s"	0.461	0.431	-7.332	0.0406	0.916	1.58e-06	0.111	0.57	151.985	113056
"73"	"Turkey70s"	0.62	0.62	-7.66	0.0516	0.681	0	0.358	0.795	134.613	185466
"74"	"Turkey70s"	0.299	0.526	-12.091	0.323	0.558	5.57e-05	0.0801	0.663	197.677	298253
"75"	"Turkey70s"	0.693	0.873	-3.846	0.192	0.389	0	0.101	0.965	106.392	142388
"76"	"Turkey70s"	0.626	0.266	-9.526	0.045	0.652	0	0.359	0.312	101.139	247693
"77"	"Turkey70s"	0.318	0.388	-6.864	0.0443	0.849	0	0.118	0.385	79.169	248475
"78"	"Turkey70s"	0.542	0.602	-9.917	0.0674	0.339	0	0.253	0.77	96.619	189626
"79"	"Turkey70s"	0.27	0.256	-13.639	0.0322	0.822	0.00695	0.144	0.437	90.74	284000
"80"	"Turkey70s"	0.406	0.261	-12.098	0.0356	0.987	0.422	0.111	0.426	124.094	211748
"81"	"Turkey70s"	0.583	0.877	-6.075	0.0467	0.148	0.00045	0.815	0.866	111.824	219382
"82"	"Turkey70s"	0.392	0.615	-6.403	0.0485	0.836	0.000143	0.213	0.348	91.999	175442
"83"	"Turkey70s"	0.399	0.496	-7.763	0.0509	0.905	0.00786	0.26	0.62	113.625	206725
"84"	"Turkey70s"	0.379	0.665	-10.475	0.0446	0.204	0.321	0.313	0.616	177.905	266466
"85"	"Turkey70s"	0.56	0.814	-6.541	0.124	0.764	1.02e-05	0.15	0.694	90.448	135573
"86"	"Turkey70s"	0.5	0.406	-10.25	0.0305	0.94	9.2e-06	0.284	0.615	103.913	268004
"87"	"Turkey70s"	0.449	0.441	-12.827	0.054	0.764	1.74e-05	0.277	0.831	130.346	191796
"88"	"Turkey70s"	0.251	0.539	-6.669	0.0313	0.902	0.000117	0.583	0.507	98.262	202946
"89"	"Turkey70s"	0.393	0.486	-15.114	0.0707	0.951	0.00352	0.11	0.577	80.514	288500
"90"	"Turkey70s"	0.327	0.391	-11.958	0.0412	0.787	0.208	0.128	0.0958	130.116	247666
"91"	"Turkey70s"	0.562	0.621	-7.929	0.0485	0.0459	0.000139	0.108	0.576	129.781	198786
"92"	"Turkey70s"	0.326	0.46	-8.417	0.0376	0.453	0	0.369	0.63	86.155	197416
"93"	"Turkey70s"	0.558	0.667	-8.061	0.0482	0.623	2.08e-05	0.263	0.635	124.425	208039
"94"	"Turkey70s"	0.591	0.574	-6.643	0.0623	0.718	0.000744	0.196	0.759	123.828	165626
"95"	"Turkey70s"	0.257	0.516	-7.072	0.0861	0.174	0.132	0.136	0.251	64.757	270851
"96"	"Turkey70s"	0.208	0.467	-10.217	0.0413	0.974	0.00595	0.105	0.432	177.778	222911
"97"	"Turkey70s"	0.409	0.361	-14.653	0.0428	0.453	0.099	0.15	0.223	117.522	237633
"98"	"Turkey70s"	0.606	0.648	-8.344	0.0573	0.804	0.0761	0.129	0.778	125.493	188306
"99"	"Turkey70s"	0.337	0.481	-8.861	0.0354	0.841	0.0058	0.448	0.267	129.344	210933
"100"	"Turkey80s"	0.395	0.675	-5.881	0.0472	0.649	0	0.0963	0.496	177.053	259360
"101"	"Turkey80s"	0.742	0.186	-16.82	0.0449	0.822	0	0.162	0.57	114.982	257044
"102"	"Turkey80s"	0.469	0.486	-15.076	0.0427	0.149	1.21e-05	0.123	0.595	130.737	239266
"103"	"Turkey80s"	0.534	0.739	-4.654	0.12	0.668	0	0.233	0.505	103.252	229266
"104"	"Turkey80s"	0.393	0.568	-11.864	0.0728	0.638	3.4e-06	0.32	0.591	83.395	328773
"105"	"Turkey80s"	0.448	0.5	-9.679	0.0359	0.505	0	0.311	0.597	111.861	213000
"106"	"Turkey80s"	0.463	0.438	-10.917	0.0261	0.869	9.14e-06	0.105	0.341	147.666	192552
"107"	"Turkey80s"	0.478	0.579	-14.609	0.0979	0.385	0	0.471	0.912	166.848	247000
"108"	"Turkey80s"	0.267	0.749	-8.092	0.118	0.334	0.0191	0.0944	0.324	97.788	245506
"109"	"Turkey80s"	0.555	0.896	-8.561	0.135	0.483	0	0.339	0.923	135.566	349160
"110"	"Turkey80s"	0.301	0.577	-11.364	0.0438	0.46	1.65e-06	0.418	0.36	79.954	242560
"111"	"Turkey80s"	0.274	0.261	-16.382	0.0414	0.214	0	0.1	0.485	168.223	210714
"112"	"Turkey80s"	0.573	0.621	-12.466	0.0516	0.46	1.97e-06	0.158	0.628	88.035	289666
"113"	"Turkey80s"	0.581	0.507	-9.778	0.031	0.766	0	0.105	0.533	165.761	288106
"114"	"Turkey80s"	0.62	0.285	-18.246	0.0793	0.0186	0.387	0.146	0.456	82.572	309000
"115"	"Turkey80s"	0.495	0.513	-12.279	0.0717	0.677	0	0.461	0.689	92.45	139389
"116"	"Turkey80s"	0.27	0.384	-14.961	0.0798	0.0639	0.000618	0.117	0.41	175.59	271920
"117"	"Turkey80s"	0.335	0.42	-14.126	0.0477	0.648	0	0.235	0.489	167.912	329173
"118"	"Turkey80s"	0.295	0.569	-5.845	0.0313	0.0484	0	0.148	0.378	162.735	265653
"119"	"Turkey80s"	0.57	0.888	-4.204	0.142	0.734	0.0533	0.474	0.868	133.555	210500
"120"	"Turkey80s"	0.507	0.734	-11.001	0.108	0.0757	2.41e-05	0.277	0.725	147.682	188626
"121"	"Turkey80s"	0.621	0.258	-17.339	0.0352	0.852	0.0027	0.188	0.516	103.645	541535
"122"	"Turkey80s"	0.533	0.632	-7.707	0.0304	0.51	0.000428	0.308	0.535	121.845	340776
